Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2019,4,1,44.4,15.8,16.6,19.6,—,—,—,—,—
Bukit Timah,2019,4,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,3,25,10.6,19.6,21.8,—,—,—,—,—
Bukit Timah,2019,4,4,38,17.6,32.8,38,—,—,—,—,—
Bukit Timah,2019,4,5,10,9.8,10,10,—,—,—,—,—
Bukit Timah,2019,4,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,7,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,8,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,9,9.4,6,9.2,9.2,—,—,—,—,—
Bukit Timah,2019,4,10,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,4,11,1.6,0.8,1.4,1.4,—,—,—,—,—
Bukit Timah,2019,4,12,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,14,1,1,1,1,—,—,—,—,—
Bukit Timah,2019,4,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,18,4.6,3.6,4.6,4.6,—,—,—,—,—
Bukit Timah,2019,4,19,8.4,8.2,8.2,8.4,—,—,—,—,—
Bukit Timah,2019,4,20,4.2,3.8,3.8,3.8,—,—,—,—,—
Bukit Timah,2019,4,21,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,22,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,23,34.8,16.8,18.6,27.6,—,—,—,—,—
Bukit Timah,2019,4,24,5.6,5.4,5.6,5.6,—,—,—,—,—
Bukit Timah,2019,4,25,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,4,26,36,12.2,23.4,27.2,—,—,—,—,—
Bukit Timah,2019,4,27,10.6,4.4,5.4,5.8,—,—,—,—,—
Bukit Timah,2019,4,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,4,30,0,0,0,0,—,—,—,—,—
