Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2019,7,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,3,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,7,4,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,5,6.2,6.2,6.2,6.2,—,—,—,—,—
Bukit Timah,2019,7,6,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,7,7,9.6,9.6,9.6,9.6,—,—,—,—,—
Bukit Timah,2019,7,8,9.8,9.6,9.6,9.6,—,—,—,—,—
Bukit Timah,2019,7,9,2.8,1,1.8,2,—,—,—,—,—
Bukit Timah,2019,7,10,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,11,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,12,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,14,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,15,20.4,16.6,19.6,20.4,—,—,—,—,—
Bukit Timah,2019,7,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,17,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,7,18,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,19,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,20,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,21,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,22,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,23,7.4,5.2,6.4,7.4,—,—,—,—,—
Bukit Timah,2019,7,24,28,20.2,27.4,28,—,—,—,—,—
Bukit Timah,2019,7,25,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,30,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,7,31,0,0,0,0,—,—,—,—,—
