Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2020,6,1,     4.2,     1.6,-,-,-,-,-,-,-
Bukit Timah,2020,6,2,     0.0,     0.0,-,-,-,-,-,-,-
Bukit Timah,2020,6,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,6,4,    25.4,    15.4,    21.8,    24.2,-,-,-,-,-
Bukit Timah,2020,6,5,     5.8,-,-,-,-,-,-,-,-
Bukit Timah,2020,6,6,     5.4,-,-,-,-,-,-,-,-
Bukit Timah,2020,6,7,     0.0,-,-,-,-,-,-,-,-
Bukit Timah,2020,6,8,     0.4,-,-,-,-,-,-,-,-
Bukit Timah,2020,6,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,6,10,     2.0,     1.6,     2.0,     2.0,-,-,-,-,-
Bukit Timah,2020,6,11,     7.8,     7.0,     7.6,     7.6,-,-,-,-,-
Bukit Timah,2020,6,12,    11.6,     8.2,    11.4,    11.4,-,-,-,-,-
Bukit Timah,2020,6,13,    38.8,    27.8,    31.6,    32.6,-,-,-,-,-
Bukit Timah,2020,6,14,    22.6,    21.2,    22.6,    22.6,-,-,-,-,-
Bukit Timah,2020,6,15,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,6,16,    13.0,     7.2,     7.2,     8.0,-,-,-,-,-
Bukit Timah,2020,6,17,    26.4,    16.0,    17.8,    23.4,-,-,-,-,-
Bukit Timah,2020,6,18,     9.8,     8.6,     9.4,     9.4,-,-,-,-,-
Bukit Timah,2020,6,19,    17.8,    13.4,    14.8,    14.8,-,-,-,-,-
Bukit Timah,2020,6,20,    24.8,     6.4,     7.8,     9.6,-,-,-,-,-
Bukit Timah,2020,6,21,    20.2,    14.0,    17.0,    17.8,-,-,-,-,-
Bukit Timah,2020,6,22,    11.2,     5.2,     7.8,     9.8,-,-,-,-,-
Bukit Timah,2020,6,23,    70.4,    23.4,    37.2,    43.4,-,-,-,-,-
Bukit Timah,2020,6,24,    21.0,    10.0,    16.6,    18.6,-,-,-,-,-
Bukit Timah,2020,6,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,6,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,6,27,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,6,28,     2.2,     2.0,     2.2,     2.2,-,-,-,-,-
Bukit Timah,2020,6,29,     1.6,     1.6,     1.6,     1.6,-,-,-,-,-
Bukit Timah,2020,6,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
