Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2020,5,1,     8.6,     2.8,     3.6,     4.8,-,-,-,-,-
Bukit Timah,2020,5,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,5,3,     8.2,     7.6,     7.6,     8.0,-,-,-,-,-
Bukit Timah,2020,5,4,     4.6,     2.8,     3.4,     4.4,-,-,-,-,-
Bukit Timah,2020,5,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,5,6,    12.8,     7.4,    12.2,    12.4,-,-,-,-,-
Bukit Timah,2020,5,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,5,8,    32.6,    13.2,    17.0,    32.2,-,-,-,-,-
Bukit Timah,2020,5,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,5,10,    28.6,    12.2,    13.6,    13.6,-,-,-,-,-
Bukit Timah,2020,5,11,     2.6,     1.4,     1.6,     2.0,-,-,-,-,-
Bukit Timah,2020,5,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,5,13,     8.8,     7.6,     7.8,     8.6,-,-,-,-,-
Bukit Timah,2020,5,14,     7.2,     7.2,     7.2,     7.2,-,-,-,-,-
Bukit Timah,2020,5,15,     1.6,     1.6,     1.6,     1.6,-,-,-,-,-
Bukit Timah,2020,5,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,5,17,    27.0,    17.0,    18.6,    19.6,-,-,-,-,-
Bukit Timah,2020,5,18,     1.4,     1.0,     2.4,     4.6,-,-,-,-,-
Bukit Timah,2020,5,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,5,20,    10.0,     9.6,     9.6,     9.6,-,-,-,-,-
Bukit Timah,2020,5,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,5,22,    73.2,    35.8,    44.2,    72.0,-,-,-,-,-
Bukit Timah,2020,5,23,     2.4,     1.0,     1.4,     2.4,-,-,-,-,-
Bukit Timah,2020,5,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,5,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,5,26,    32.4,    31.6,    31.8,    32.0,-,-,-,-,-
Bukit Timah,2020,5,27,    14.6,    34.4,    41.8,    44.2,-,-,-,-,-
Bukit Timah,2020,5,28,    22.0,    14.8,    19.0,    21.6,-,-,-,-,-
Bukit Timah,2020,5,29,     0.2,     0.2,     0.2,     3.6,-,-,-,-,-
Bukit Timah,2020,5,30,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Bukit Timah,2020,5,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
