Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2020,1,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,3,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2020,1,4,4,2.6,2.8,3.2,—,—,—,—,—
Bukit Timah,2020,1,5,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,6,7.6,3.2,4.4,5.8,—,—,—,—,—
Bukit Timah,2020,1,7,5,2.2,3.4,3.6,—,—,—,—,—
Bukit Timah,2020,1,8,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,9,3.2,1.8,1.8,2.8,—,—,—,—,—
Bukit Timah,2020,1,10,1,0.8,0.8,1,—,—,—,—,—
Bukit Timah,2020,1,11,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,12,7.8,5.8,6.6,6.8,—,—,—,—,—
Bukit Timah,2020,1,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,14,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,16,11.2,6.8,7.2,10,—,—,—,—,—
Bukit Timah,2020,1,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,18,2.8,1.4,2.8,2.8,—,—,—,—,—
Bukit Timah,2020,1,19,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,20,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,21,12.6,7.2,7.4,9.6,—,—,—,—,—
Bukit Timah,2020,1,22,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,23,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,24,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,25,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,27,8.8,5.8,6.6,8.8,—,—,—,—,—
Bukit Timah,2020,1,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,29,29.8,4.8,8.4,14.6,—,—,—,—,—
Bukit Timah,2020,1,30,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,1,31,0,0,0,0,—,—,—,—,—
