Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2020,9,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,9,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,9,3,    13.2,     6.6,     7.4,     7.4,-,-,-,-,-
Bukit Timah,2020,9,4,     7.4,     4.4,     6.6,     6.8,-,-,-,-,-
Bukit Timah,2020,9,5,    19.2,     3.0,     5.2,     8.2,-,-,-,-,-
Bukit Timah,2020,9,6,     7.2,     6.0,     6.8,     7.0,-,-,-,-,-
Bukit Timah,2020,9,7,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,9,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,9,9,     2.2,     2.2,     2.2,     2.2,-,-,-,-,-
Bukit Timah,2020,9,10,    32.2,    19.2,    19.8,    30.2,-,-,-,-,-
Bukit Timah,2020,9,11,    23.6,    15.2,    19.6,    19.8,-,-,-,-,-
Bukit Timah,2020,9,12,    16.6,     8.0,    10.0,    12.2,-,-,-,-,-
Bukit Timah,2020,9,13,    32.6,    11.4,    19.2,    22.2,-,-,-,-,-
Bukit Timah,2020,9,14,    17.2,    14.4,    16.0,    17.2,-,-,-,-,-
Bukit Timah,2020,9,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,9,16,    35.0,    13.2,    23.4,    31.8,-,-,-,-,-
Bukit Timah,2020,9,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,9,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,9,19,     6.6,     5.8,     5.8,     5.8,-,-,-,-,-
Bukit Timah,2020,9,20,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,9,21,     3.4,     0.6,     0.8,     1.4,-,-,-,-,-
Bukit Timah,2020,9,22,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Bukit Timah,2020,9,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,9,24,     5.8,     5.4,     5.8,     5.8,-,-,-,-,-
Bukit Timah,2020,9,25,    28.6,    13.2,    17.6,    28.6,-,-,-,-,-
Bukit Timah,2020,9,26,    30.6,    15.2,    22.0,    39.4,-,-,-,-,-
Bukit Timah,2020,9,27,     9.6,     5.4,     6.8,     8.4,-,-,-,-,-
Bukit Timah,2020,9,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,9,29,     4.2,     3.4,     3.8,     3.8,-,-,-,-,-
Bukit Timah,2020,9,30,     3.6,     3.6,     3.6,     3.6,-,-,-,-,-
