Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2020,12,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,12,2,     1.4,     1.4,     1.4,     1.4,-,-,-,-,-
Bukit Timah,2020,12,3,    19.0,    18.6,    19.0,    19.0,-,-,-,-,-
Bukit Timah,2020,12,4,    16.0,    12.2,    14.8,    15.8,-,-,-,-,-
Bukit Timah,2020,12,5,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,12,6,     0.4,     0.2,     0.2,     0.4,-,-,-,-,-
Bukit Timah,2020,12,7,     0.4,     0.2,     0.4,     0.4,-,-,-,-,-
Bukit Timah,2020,12,8,     1.4,     0.8,     1.0,     1.4,-,-,-,-,-
Bukit Timah,2020,12,9,     4.4,     4.0,     4.2,     4.2,-,-,-,-,-
Bukit Timah,2020,12,10,     5.6,     5.2,     5.2,     5.6,-,-,-,-,-
Bukit Timah,2020,12,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,12,12,    17.4,     7.2,     9.2,     9.2,-,-,-,-,-
Bukit Timah,2020,12,13,     1.6,     0.4,     0.6,     1.0,-,-,-,-,-
Bukit Timah,2020,12,14,    10.4,     4.0,     5.2,     6.8,-,-,-,-,-
Bukit Timah,2020,12,15,    23.4,    19.0,    19.8,    21.6,-,-,-,-,-
Bukit Timah,2020,12,16,    11.6,     4.8,     4.8,     4.8,-,-,-,-,-
Bukit Timah,2020,12,17,    14.4,    12.6,    13.8,    14.2,-,-,-,-,-
Bukit Timah,2020,12,18,     2.4,     0.8,     1.2,     1.4,-,-,-,-,-
Bukit Timah,2020,12,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,12,20,     1.4,     1.0,     1.0,     1.0,-,-,-,-,-
Bukit Timah,2020,12,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,12,22,     0.4,     0.2,     0.2,     0.4,-,-,-,-,-
Bukit Timah,2020,12,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,12,24,    20.8,    16.4,    18.0,    20.2,-,-,-,-,-
Bukit Timah,2020,12,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,12,26,    25.2,    15.4,    16.6,    16.8,-,-,-,-,-
Bukit Timah,2020,12,27,    16.2,     8.2,    12.0,    15.8,-,-,-,-,-
Bukit Timah,2020,12,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,12,29,    36.8,    24.8,    36.6,    36.6,-,-,-,-,-
Bukit Timah,2020,12,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,12,31,    17.6,    12.2,    12.2,    12.2,-,-,-,-,-
