Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2019,1,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,3,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,1,4,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,5,14.2,6,11.6,14.2,—,—,—,—,—
Bukit Timah,2019,1,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,7,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,8,6.2,4.8,4.8,5.2,—,—,—,—,—
Bukit Timah,2019,1,9,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,10,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,11,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,12,27.6,10,17.2,27.6,—,—,—,—,—
Bukit Timah,2019,1,13,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,1,14,1.2,1,1.2,1.2,—,—,—,—,—
Bukit Timah,2019,1,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,17,9,5.4,5.8,6.6,—,—,—,—,—
Bukit Timah,2019,1,18,35,16.8,18.6,20.4,—,—,—,—,—
Bukit Timah,2019,1,19,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,20,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,1,21,7.2,7.2,7.2,7.2,—,—,—,—,—
Bukit Timah,2019,1,22,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,23,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,24,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,25,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,30,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,1,31,0,0,0,0,—,—,—,—,—
