Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2019,10,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,2,1.6,0.8,0.8,1.2,—,—,—,—,—
Bukit Timah,2019,10,3,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,4,16.8,15,15.6,15.6,—,—,—,—,—
Bukit Timah,2019,10,5,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,10,6,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,10,7,38.4,30.8,32.4,33.2,—,—,—,—,—
Bukit Timah,2019,10,8,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,9,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,10,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,11,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,12,4,3,4,4,—,—,—,—,—
Bukit Timah,2019,10,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,14,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,18,0.6,0.6,0.6,0.6,—,—,—,—,—
Bukit Timah,2019,10,19,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,20,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,10,21,19,8.8,11.8,15.2,—,—,—,—,—
Bukit Timah,2019,10,22,23.8,15,15,15.8,—,—,—,—,—
Bukit Timah,2019,10,23,2.2,2,2,2,—,—,—,—,—
Bukit Timah,2019,10,24,0.8,0.8,0.8,0.8,—,—,—,—,—
Bukit Timah,2019,10,25,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,10,26,13.6,11.4,13.2,13.2,—,—,—,—,—
Bukit Timah,2019,10,27,25.4,15.8,22.6,23.2,—,—,—,—,—
Bukit Timah,2019,10,28,5,2.4,2.6,4.6,—,—,—,—,—
Bukit Timah,2019,10,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,30,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,10,31,0,0,0,0,—,—,—,—,—
