Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2019,11,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,3,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,4,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,5,5.4,5.4,5.4,5.4,—,—,—,—,—
Bukit Timah,2019,11,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,7,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,8,17.4,11.6,14.2,16.6,—,—,—,—,—
Bukit Timah,2019,11,9,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,10,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,11,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,12,29,26.2,29,29,—,—,—,—,—
Bukit Timah,2019,11,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,14,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,18,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,19,3.8,3.8,3.8,3.8,—,—,—,—,—
Bukit Timah,2019,11,20,54.8,37.2,52.4,53,—,—,—,—,—
Bukit Timah,2019,11,21,0.4,0.2,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,11,22,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,11,23,1.8,1.2,1.4,1.4,—,—,—,—,—
Bukit Timah,2019,11,24,3,2,2.4,2.4,—,—,—,—,—
Bukit Timah,2019,11,25,1.8,1.6,1.6,1.6,—,—,—,—,—
Bukit Timah,2019,11,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,11,28,2,1,1.2,1.2,—,—,—,—,—
Bukit Timah,2019,11,29,65.6,18,26.2,41.6,—,—,—,—,—
Bukit Timah,2019,11,30,6.4,5.4,5.6,6.2,—,—,—,—,—
