Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2019,6,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,2,56.6,16.4,28.4,46,—,—,—,—,—
Bukit Timah,2019,6,3,48.2,20.4,33.8,42.2,—,—,—,—,—
Bukit Timah,2019,6,4,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,5,3.8,3.8,3.8,3.8,—,—,—,—,—
Bukit Timah,2019,6,6,20.4,8.8,8.8,10,—,—,—,—,—
Bukit Timah,2019,6,7,5.8,1.8,3,4.2,—,—,—,—,—
Bukit Timah,2019,6,8,3.2,3,3,3,—,—,—,—,—
Bukit Timah,2019,6,9,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,10,6.4,6.4,6.4,6.4,—,—,—,—,—
Bukit Timah,2019,6,11,48.4,19.6,34.6,37.2,—,—,—,—,—
Bukit Timah,2019,6,12,22.2,6.4,9,12.4,—,—,—,—,—
Bukit Timah,2019,6,13,3.8,2,2.6,3,—,—,—,—,—
Bukit Timah,2019,6,14,0.4,0.2,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,6,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,18,3.8,1.2,1.6,1.6,—,—,—,—,—
Bukit Timah,2019,6,19,1.2,0.8,1,1,—,—,—,—,—
Bukit Timah,2019,6,20,0.4,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,6,21,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,22,8.6,5.4,8.2,8.2,—,—,—,—,—
Bukit Timah,2019,6,23,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,24,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,25,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,26,9.8,6.4,8.4,9.8,—,—,—,—,—
Bukit Timah,2019,6,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,6,29,0.6,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,6,30,0,0,0,0,—,—,—,—,—
