Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2019,5,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,3,12,12,12,12,—,—,—,—,—
Bukit Timah,2019,5,4,1.8,1.2,1.2,1.4,—,—,—,—,—
Bukit Timah,2019,5,5,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,7,8,7.4,8,8,—,—,—,—,—
Bukit Timah,2019,5,8,62.2,39,44.6,45.2,—,—,—,—,—
Bukit Timah,2019,5,9,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,10,41.6,18.8,25.6,26,—,—,—,—,—
Bukit Timah,2019,5,11,0.8,0.8,0.8,0.8,—,—,—,—,—
Bukit Timah,2019,5,12,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,13,4.2,3.4,3.8,4.2,—,—,—,—,—
Bukit Timah,2019,5,14,1.4,0.6,0.8,0.8,—,—,—,—,—
Bukit Timah,2019,5,15,5.2,4.2,5,5,—,—,—,—,—
Bukit Timah,2019,5,16,0.8,0.8,0.8,0.8,—,—,—,—,—
Bukit Timah,2019,5,17,2.6,1.2,1.8,2.4,—,—,—,—,—
Bukit Timah,2019,5,18,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,5,19,12,8.6,11.8,11.8,—,—,—,—,—
Bukit Timah,2019,5,20,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,21,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,22,0.6,0.6,0.6,0.6,—,—,—,—,—
Bukit Timah,2019,5,23,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,24,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,25,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,27,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,5,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,5,30,11.6,7.8,9.8,10.6,—,—,—,—,—
Bukit Timah,2019,5,31,5.8,5.8,5.8,5.8,—,—,—,—,—
