Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2020,3,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,3,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,4,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,5,37,30.4,36.8,37,—,—,—,—,—
Bukit Timah,2020,3,6,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2020,3,7,21.2,11.2,18.2,20.4,—,—,—,—,—
Bukit Timah,2020,3,8,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2020,3,9,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,10,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,11,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2020,3,12,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,14,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,18,3.4,2.2,2.2,2.2,—,—,—,—,—
Bukit Timah,2020,3,19,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2020,3,20,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,21,5.2,4.6,4.8,4.8,—,—,—,—,—
Bukit Timah,2020,3,22,42.6,31.4,42.2,42.4,—,—,—,—,—
Bukit Timah,2020,3,23,15.8,11.6,13,15,—,—,—,—,—
Bukit Timah,2020,3,24,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2020,3,25,4.6,2.4,4.2,4.4,—,—,—,—,—
Bukit Timah,2020,3,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,27,32.4,29.2,32.2,32.4,—,—,—,—,—
Bukit Timah,2020,3,28,9,9,9,9,—,—,—,—,—
Bukit Timah,2020,3,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,30,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,3,31,0,0,0,0,—,—,—,—,—
