Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2018,12,1,40.4,25.2,33.2,34.2,—,—,—,—,—
Bukit Timah,2018,12,2,18.8,13.8,14.4,14.4,—,—,—,—,—
Bukit Timah,2018,12,3,14.8,9.8,13.2,14.6,—,—,—,—,—
Bukit Timah,2018,12,4,7.4,7.4,7.4,7.4,—,—,—,—,—
Bukit Timah,2018,12,5,24.6,17,18.4,18.6,—,—,—,—,—
Bukit Timah,2018,12,6,23,12.8,19,22.4,—,—,—,—,—
Bukit Timah,2018,12,7,33.4,31,31.6,31.8,—,—,—,—,—
Bukit Timah,2018,12,8,15,11.4,12.2,14.8,—,—,—,—,—
Bukit Timah,2018,12,9,0.6,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2018,12,10,27.2,22.4,27,27.2,—,—,—,—,—
Bukit Timah,2018,12,11,26.4,17,20.4,22.6,—,—,—,—,—
Bukit Timah,2018,12,12,45.6,30.6,43.4,45.2,—,—,—,—,—
Bukit Timah,2018,12,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,12,14,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,12,15,31.6,11.4,15.4,16.6,—,—,—,—,—
Bukit Timah,2018,12,16,17,7.8,10.4,14.2,—,—,—,—,—
Bukit Timah,2018,12,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,12,18,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,12,19,7.8,4.4,7.8,7.8,—,—,—,—,—
Bukit Timah,2018,12,20,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2018,12,21,2.2,2.2,2.2,2.2,—,—,—,—,—
Bukit Timah,2018,12,22,2.2,2.2,2.2,2.2,—,—,—,—,—
Bukit Timah,2018,12,23,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2018,12,24,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,12,25,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,12,26,6.6,6,6.6,6.6,—,—,—,—,—
Bukit Timah,2018,12,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,12,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,12,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,12,30,5.4,5.2,5.4,5.4,—,—,—,—,—
Bukit Timah,2018,12,31,40.2,26.8,30.6,37.8,—,—,—,—,—
