Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2020,2,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,3,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,4,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,5,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,7,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,8,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,9,5.6,2.2,2.8,3.2,—,—,—,—,—
Bukit Timah,2020,2,10,5.2,2.2,3.8,4.8,—,—,—,—,—
Bukit Timah,2020,2,11,53.2,10.8,17,22.8,—,—,—,—,—
Bukit Timah,2020,2,12,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,14,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,16,11.6,11.4,11.6,11.6,—,—,—,—,—
Bukit Timah,2020,2,17,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2020,2,18,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,19,9.8,8.4,9.8,9.8,—,—,—,—,—
Bukit Timah,2020,2,20,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2020,2,21,11.2,5,5,5,—,—,—,—,—
Bukit Timah,2020,2,22,4.6,2,2,4,—,—,—,—,—
Bukit Timah,2020,2,23,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,24,5.4,3.6,3.6,3.8,—,—,—,—,—
Bukit Timah,2020,2,25,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2020,2,29,0,0,0,0,—,—,—,—,—
