Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2018,4,1,16.8,9.8,11.4,15.4,—,—,—,—,—
Bukit Timah,2018,4,2,0.4,0.2,0.4,0.4,—,—,—,—,—
Bukit Timah,2018,4,3,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,4,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,5,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,7,15.4,6.2,11.8,13.2,—,—,—,—,—
Bukit Timah,2018,4,8,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,9,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,10,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,11,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,12,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,14,31.4,18.2,25.8,29.4,—,—,—,—,—
Bukit Timah,2018,4,15,31.8,21.8,29.6,29.6,—,—,—,—,—
Bukit Timah,2018,4,16,0.8,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2018,4,17,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2018,4,18,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,19,10.6,8.6,8.6,8.8,—,—,—,—,—
Bukit Timah,2018,4,20,43.6,20.2,27.8,37.8,—,—,—,—,—
Bukit Timah,2018,4,21,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,22,12.4,5.4,7,12.4,—,—,—,—,—
Bukit Timah,2018,4,23,61.2,37.2,45.6,56,—,—,—,—,—
Bukit Timah,2018,4,24,21.6,11.6,13.8,15.2,—,—,—,—,—
Bukit Timah,2018,4,25,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,26,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2018,4,27,14.8,7.2,7.4,7.4,—,—,—,—,—
Bukit Timah,2018,4,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,4,30,0,0,0,0,—,—,—,—,—
