Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2019,2,1,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,2,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,3,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,2,4,4.6,2.4,2.4,4.6,—,—,—,—,—
Bukit Timah,2019,2,5,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,2,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,7,2.4,2,2.4,2.4,—,—,—,—,—
Bukit Timah,2019,2,8,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,9,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,10,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,11,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,12,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,14,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,17,3,1.8,1.8,2,—,—,—,—,—
Bukit Timah,2019,2,18,5.6,4.8,5,5.2,—,—,—,—,—
Bukit Timah,2019,2,19,5.6,3,3,5.6,—,—,—,—,—
Bukit Timah,2019,2,20,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,21,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,22,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,23,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,24,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,25,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,2,28,0,0,0,0,—,—,—,—,—
