Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2018,10,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,3,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,4,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,5,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,6,7.6,6.8,7.4,7.6,—,—,—,—,—
Bukit Timah,2018,10,7,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,8,11.4,5.6,6.4,8.4,—,—,—,—,—
Bukit Timah,2018,10,9,16,3.6,6,10.2,—,—,—,—,—
Bukit Timah,2018,10,10,59.4,28.2,30.6,31.2,—,—,—,—,—
Bukit Timah,2018,10,11,54.4,26,36.4,53.8,—,—,—,—,—
Bukit Timah,2018,10,12,6.4,2.4,2.6,2.8,—,—,—,—,—
Bukit Timah,2018,10,13,11.4,8.8,10.2,10.6,—,—,—,—,—
Bukit Timah,2018,10,14,5.8,2.8,3.4,4,—,—,—,—,—
Bukit Timah,2018,10,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,18,1.6,0.8,1.2,1.2,—,—,—,—,—
Bukit Timah,2018,10,19,24.8,18.6,22.6,24.2,—,—,—,—,—
Bukit Timah,2018,10,20,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,21,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,22,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,23,14.4,12.2,13.4,14,—,—,—,—,—
Bukit Timah,2018,10,24,4.2,4,4.2,4.2,—,—,—,—,—
Bukit Timah,2018,10,25,7.6,7.6,7.6,7.6,—,—,—,—,—
Bukit Timah,2018,10,26,3,3,3,3,—,—,—,—,—
Bukit Timah,2018,10,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,10,28,2.4,1.8,2,2,—,—,—,—,—
Bukit Timah,2018,10,29,5.8,5,5.2,5.6,—,—,—,—,—
Bukit Timah,2018,10,30,8.2,3,3.2,4.4,—,—,—,—,—
Bukit Timah,2018,10,31,0,0,0,0,—,—,—,—,—
