Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2019,12,1,1.2,0.6,0.6,0.6,—,—,—,—,—
Bukit Timah,2019,12,2,35.2,25.6,26.6,28.6,—,—,—,—,—
Bukit Timah,2019,12,3,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,4,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,5,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,12,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,7,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,8,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,9,20.2,6.4,10.2,12.8,—,—,—,—,—
Bukit Timah,2019,12,10,12,2.4,4.2,6.8,—,—,—,—,—
Bukit Timah,2019,12,11,24.6,9.8,15,18.6,—,—,—,—,—
Bukit Timah,2019,12,12,0.4,0.4,0.4,0.4,—,—,—,—,—
Bukit Timah,2019,12,13,33.4,16.8,17.4,18.8,—,—,—,—,—
Bukit Timah,2019,12,14,27.8,3,5.4,8.8,—,—,—,—,—
Bukit Timah,2019,12,15,33.6,9.8,13.4,14.8,—,—,—,—,—
Bukit Timah,2019,12,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,17,7,1.4,2,3.2,—,—,—,—,—
Bukit Timah,2019,12,18,41.8,24.2,35.2,41.4,—,—,—,—,—
Bukit Timah,2019,12,19,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,20,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,21,12.6,9.8,9.8,10.6,—,—,—,—,—
Bukit Timah,2019,12,22,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,23,24.2,21.6,22.6,24.2,—,—,—,—,—
Bukit Timah,2019,12,24,5.4,5.2,5.4,5.4,—,—,—,—,—
Bukit Timah,2019,12,25,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,12,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,30,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,12,31,0,0,0,0,—,—,—,—,—
