Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2020,11,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,11,2,    37.4,    17.0,    17.8,    29.0,-,-,-,-,-
Bukit Timah,2020,11,3,     2.6,     2.0,     2.6,     2.6,-,-,-,-,-
Bukit Timah,2020,11,4,    22.4,    10.2,    13.8,    16.2,-,-,-,-,-
Bukit Timah,2020,11,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,11,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,11,7,    21.8,     7.6,    11.6,    17.8,-,-,-,-,-
Bukit Timah,2020,11,8,    10.8,     7.6,     9.4,    10.4,-,-,-,-,-
Bukit Timah,2020,11,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,11,10,    30.4,    26.6,    27.8,    27.8,-,-,-,-,-
Bukit Timah,2020,11,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,11,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,11,13,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Bukit Timah,2020,11,14,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,11,15,    22.6,     9.0,    11.6,    15.0,-,-,-,-,-
Bukit Timah,2020,11,16,     8.8,     2.4,     4.4,     7.4,-,-,-,-,-
Bukit Timah,2020,11,17,     3.8,     3.6,     3.8,     3.8,-,-,-,-,-
Bukit Timah,2020,11,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,11,19,     3.8,     3.0,     3.6,     3.8,-,-,-,-,-
Bukit Timah,2020,11,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,11,21,     7.4,     2.0,     3.0,     4.6,-,-,-,-,-
Bukit Timah,2020,11,22,    36.0,    22.0,    28.6,    31.4,-,-,-,-,-
Bukit Timah,2020,11,23,    16.8,    10.6,    11.4,    13.2,-,-,-,-,-
Bukit Timah,2020,11,24,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,11,25,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,11,26,     2.2,     0.6,     1.2,     1.8,-,-,-,-,-
Bukit Timah,2020,11,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,11,28,     3.0,     1.8,     1.8,     2.2,-,-,-,-,-
Bukit Timah,2020,11,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,11,30,     2.2,     1.6,     2.2,     2.2,-,-,-,-,-
