Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2019,3,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,3,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,4,6.8,6.2,6.8,6.8,—,—,—,—,—
Bukit Timah,2019,3,5,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,7,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,8,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,9,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,10,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,11,28.2,20.2,26.2,27.6,—,—,—,—,—
Bukit Timah,2019,3,12,0.6,0.4,0.6,0.6,—,—,—,—,—
Bukit Timah,2019,3,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,14,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,18,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,19,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,20,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,21,43.6,18.2,31.4,37.8,—,—,—,—,—
Bukit Timah,2019,3,22,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,3,23,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,3,24,1.2,0.8,1.2,1.2,—,—,—,—,—
Bukit Timah,2019,3,25,12.8,11.6,12.2,12.2,—,—,—,—,—
Bukit Timah,2019,3,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,28,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2019,3,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2019,3,30,0.4,0.2,0.2,0.4,—,—,—,—,—
Bukit Timah,2019,3,31,0,0,0,0,—,—,—,—,—
