Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2018,11,1,3.4,1.4,2.4,3,—,—,—,—,—
Bukit Timah,2018,11,2,2,1.6,1.6,1.6,—,—,—,—,—
Bukit Timah,2018,11,3,1.8,1.4,1.4,1.8,—,—,—,—,—
Bukit Timah,2018,11,4,21,13,16,19,—,—,—,—,—
Bukit Timah,2018,11,5,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2018,11,6,9.2,8.4,8.6,8.8,—,—,—,—,—
Bukit Timah,2018,11,7,20.4,17.6,20,20.4,—,—,—,—,—
Bukit Timah,2018,11,8,27.8,10.2,13.8,22.4,—,—,—,—,—
Bukit Timah,2018,11,9,16.4,10.2,15.2,16.4,—,—,—,—,—
Bukit Timah,2018,11,10,18,12.4,12.4,14.4,—,—,—,—,—
Bukit Timah,2018,11,11,73.4,30.6,52,72.6,—,—,—,—,—
Bukit Timah,2018,11,12,6.2,3.4,6,6.2,—,—,—,—,—
Bukit Timah,2018,11,13,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2018,11,14,73.6,33.2,56.4,70.2,—,—,—,—,—
Bukit Timah,2018,11,15,8.2,3.2,5.6,6.4,—,—,—,—,—
Bukit Timah,2018,11,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,11,17,13.8,12.4,13.4,13.8,—,—,—,—,—
Bukit Timah,2018,11,18,3.6,1,1.8,2.6,—,—,—,—,—
Bukit Timah,2018,11,19,3.4,1.6,2.2,3.2,—,—,—,—,—
Bukit Timah,2018,11,20,0.8,0.4,0.6,0.6,—,—,—,—,—
Bukit Timah,2018,11,21,16.8,8.2,8.6,8.8,—,—,—,—,—
Bukit Timah,2018,11,22,12.2,10.6,11.2,11.2,—,—,—,—,—
Bukit Timah,2018,11,23,20.2,10.2,14.8,18.6,—,—,—,—,—
Bukit Timah,2018,11,24,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,11,25,15.2,14.8,15.2,15.2,—,—,—,—,—
Bukit Timah,2018,11,26,15.8,11.4,12,14.6,—,—,—,—,—
Bukit Timah,2018,11,27,18.2,10.8,17,17.4,—,—,—,—,—
Bukit Timah,2018,11,28,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2018,11,29,3.6,3,3,3.2,—,—,—,—,—
Bukit Timah,2018,11,30,2.2,0.6,0.8,1.2,—,—,—,—,—
