Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2018,7,1,0.8,0.4,0.4,0.6,—,—,—,—,—
Bukit Timah,2018,7,2,1.2,0.8,1,1,—,—,—,—,—
Bukit Timah,2018,7,3,3,2.4,2.4,2.6,—,—,—,—,—
Bukit Timah,2018,7,4,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2018,7,5,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,7,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,8,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,9,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2018,7,10,8,3.2,4.2,7.4,—,—,—,—,—
Bukit Timah,2018,7,11,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,12,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,14,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,15,35.4,31.4,33.8,34.6,—,—,—,—,—
Bukit Timah,2018,7,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,18,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,19,14.2,11,13.8,14.2,—,—,—,—,—
Bukit Timah,2018,7,20,6.6,6.2,6.6,6.6,—,—,—,—,—
Bukit Timah,2018,7,21,12.8,12.6,12.6,12.6,—,—,—,—,—
Bukit Timah,2018,7,22,0.6,0.4,0.6,0.6,—,—,—,—,—
Bukit Timah,2018,7,23,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,24,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,25,2.8,1.4,2.2,2.2,—,—,—,—,—
Bukit Timah,2018,7,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,7,30,20.4,13.8,15.4,16.2,—,—,—,—,—
Bukit Timah,2018,7,31,0,0,0,0,—,—,—,—,—
