Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2021,4,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,2,    25.6,    12.4,    17.2,    18.6,-,-,-,-,-
Bukit Timah,2021,4,3,     5.2,     5.0,     5.0,     5.0,-,-,-,-,-
Bukit Timah,2021,4,4,    17.0,    10.0,    10.4,    13.0,-,-,-,-,-
Bukit Timah,2021,4,5,    33.2,    26.0,    32.2,    32.8,-,-,-,-,-
Bukit Timah,2021,4,6,     6.0,     5.8,     5.8,     6.0,-,-,-,-,-
Bukit Timah,2021,4,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,9,    16.8,    11.6,    14.6,    15.4,-,-,-,-,-
Bukit Timah,2021,4,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,12,    24.4,    20.6,    24.4,    24.4,-,-,-,-,-
Bukit Timah,2021,4,13,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Bukit Timah,2021,4,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,15,    31.8,    15.6,    21.6,    28.6,-,-,-,-,-
Bukit Timah,2021,4,16,     2.6,     1.6,     2.4,     2.4,-,-,-,-,-
Bukit Timah,2021,4,17,   121.4,    55.0,    76.2,   100.6,-,-,-,-,-
Bukit Timah,2021,4,18,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Bukit Timah,2021,4,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,22,     5.0,     2.4,     2.4,     2.6,-,-,-,-,-
Bukit Timah,2021,4,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,24,    19.0,     5.2,     9.0,    14.4,-,-,-,-,-
Bukit Timah,2021,4,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,26,    25.8,    18.4,    25.0,    25.8,-,-,-,-,-
Bukit Timah,2021,4,27,     7.4,     6.4,     7.2,     7.2,-,-,-,-,-
Bukit Timah,2021,4,28,     0.8,     0.6,     0.8,     0.8,-,-,-,-,-
Bukit Timah,2021,4,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,4,30,    15.6,    15.4,    15.6,    15.6,-,-,-,-,-
