Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2020,10,1,     6.8,     5.0,     5.6,     5.6,-,-,-,-,-
Bukit Timah,2020,10,2,    12.2,    11.8,    12.2,    12.2,-,-,-,-,-
Bukit Timah,2020,10,3,     5.0,    13.2,    14.4,    15.6,-,-,-,-,-
Bukit Timah,2020,10,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,10,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,10,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,10,7,     5.2,     3.0,     3.4,     3.8,-,-,-,-,-
Bukit Timah,2020,10,8,    14.2,     3.0,     4.2,     7.4,-,-,-,-,-
Bukit Timah,2020,10,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,10,10,     8.6,     6.8,     8.0,     8.4,-,-,-,-,-
Bukit Timah,2020,10,11,     1.6,     0.8,     1.2,     1.4,-,-,-,-,-
Bukit Timah,2020,10,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,10,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,10,14,     7.0,     7.0,     7.0,     7.0,-,-,-,-,-
Bukit Timah,2020,10,15,     3.0,     3.0,     3.0,     3.0,-,-,-,-,-
Bukit Timah,2020,10,16,     0.6,     0.4,     0.4,     0.6,-,-,-,-,-
Bukit Timah,2020,10,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,10,18,     7.0,     6.8,     6.8,     6.8,-,-,-,-,-
Bukit Timah,2020,10,19,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Bukit Timah,2020,10,20,     4.6,     4.4,     4.6,     4.6,-,-,-,-,-
Bukit Timah,2020,10,21,     5.0,     4.6,     4.8,     5.0,-,-,-,-,-
Bukit Timah,2020,10,22,    14.2,     7.4,    10.6,    12.4,-,-,-,-,-
Bukit Timah,2020,10,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,10,24,     4.4,     4.4,     4.4,     4.4,-,-,-,-,-
Bukit Timah,2020,10,25,     2.2,     0.8,     1.2,     1.6,-,-,-,-,-
Bukit Timah,2020,10,26,     9.6,     7.2,     7.6,     8.8,-,-,-,-,-
Bukit Timah,2020,10,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,10,28,    28.8,    18.8,    21.4,    26.0,-,-,-,-,-
Bukit Timah,2020,10,29,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,10,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,10,31,    32.0,    15.6,    17.6,    18.2,-,-,-,-,-
