Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2020,4,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,2,     3.6,     2.2,     3.4,     3.6,-,-,-,-,-
Bukit Timah,2020,4,3,    16.8,     5.6,     6.6,    11.6,-,-,-,-,-
Bukit Timah,2020,4,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,6,    24.4,    20.4,    23.8,    24.4,-,-,-,-,-
Bukit Timah,2020,4,7,    16.4,    10.8,    10.8,    11.0,-,-,-,-,-
Bukit Timah,2020,4,8,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Bukit Timah,2020,4,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,13,    35.4,    14.6,    26.6,    35.2,-,-,-,-,-
Bukit Timah,2020,4,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,21,     6.8,     3.4,     3.4,     3.4,-,-,-,-,-
Bukit Timah,2020,4,22,     0.6,     0.4,     0.6,     0.6,-,-,-,-,-
Bukit Timah,2020,4,23,    24.6,    13.8,    19.8,    19.8,-,-,-,-,-
Bukit Timah,2020,4,24,    41.8,    33.0,    37.6,    38.4,-,-,-,-,-
Bukit Timah,2020,4,25,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Bukit Timah,2020,4,26,    10.8,    10.0,    10.4,    10.4,-,-,-,-,-
Bukit Timah,2020,4,27,     3.4,     1.8,     3.0,     3.4,-,-,-,-,-
Bukit Timah,2020,4,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,4,29,     9.2,     7.8,     8.2,     8.8,-,-,-,-,-
Bukit Timah,2020,4,30,    32.2,    25.0,    28.0,    31.0,-,-,-,-,-
